lat,lon,distance_km,v_zone
49.44005675675676,18.283155876968564,49.584,False
49.44005675675676,18.304041907726422,50.287,False
49.44005675675676,18.324927938484283,49.059,False
49.44005675675676,18.34581396924214,47.546,False
49.44005675675676,18.3667,31.6,False
49.44005675675676,18.387586030757863,34.665,False
49.44005675675676,18.40847206151572,33.326,False
49.44005675675676,18.42935809227358,35.948,False
49.44005675675676,18.45024412303144,35.042,False
49.453570270270276,18.220497784694984,39.604,False
49.453570270270276,18.241383815452842,41.882,False
49.453570270270276,18.262269846210703,51.819,False
49.453570270270276,18.283155876968564,51.838,False
49.453570270270276,18.304041907726422,52.319,False
49.453570270270276,18.324927938484283,30.242,False
49.453570270270276,18.34581396924214,29.292,False
49.453570270270276,18.3667,30.264,False
49.453570270270276,18.387586030757863,32.561,False
49.453570270270276,18.40847206151572,30.999,False
49.453570270270276,18.42935809227358,30.52,False
49.453570270270276,18.45024412303144,32.052,False
49.453570270270276,18.4711301537893,32.283,False
49.453570270270276,18.49201618454716,33.414,False
49.453570270270276,18.51290221530502,36.3,False
49.467083783783785,18.178725723179266,35.573,False
49.467083783783785,18.199611753937123,38.604,False
49.467083783783785,18.220497784694984,44.167,False
49.467083783783785,18.241383815452842,42.938,False
49.467083783783785,18.262269846210703,53.504,False
49.467083783783785,18.283155876968564,54.09,False
49.467083783783785,18.304041907726422,32.747,False
49.467083783783785,18.324927938484283,28.381,False
49.467083783783785,18.34581396924214,27.85,False
49.467083783783785,18.3667,30.955,False
49.467083783783785,18.387586030757863,32.068,False
49.467083783783785,18.40847206151572,30.037,False
49.467083783783785,18.42935809227358,28.74,False
49.467083783783785,18.45024412303144,31.258,False
49.467083783783785,18.4711301537893,34.252,False
49.467083783783785,18.49201618454716,34.988,False
49.467083783783785,18.51290221530502,35.496,False
49.467083783783785,18.53378824606288,38.866,False
49.467083783783785,18.554674276820737,43.884,False
49.4805972972973,18.136953661663547,34.987,False
49.4805972972973,18.157839692421405,35.229,False
49.4805972972973,18.178725723179266,32.909,False
49.4805972972973,18.199611753937123,65.308,False
49.4805972972973,18.220497784694984,43.379,False
49.4805972972973,18.241383815452842,61.331,False
49.4805972972973,18.262269846210703,58.536,False
49.4805972972973,18.283155876968564,56.28,False
49.4805972972973,18.304041907726422,34.771,False
49.4805972972973,18.324927938484283,33.617,False
49.4805972972973,18.34581396924214,26.092,False
49.4805972972973,18.3667,30.253,False
49.4805972972973,18.387586030757863,31.601,False
49.4805972972973,18.40847206151572,28.267,False
49.4805972972973,18.42935809227358,27.241,False
49.4805972972973,18.45024412303144,33.643,False
49.4805972972973,18.4711301537893,36.181,False
49.4805972972973,18.49201618454716,37.237,False
49.4805972972973,18.51290221530502,36.721,False
49.4805972972973,18.53378824606288,38.897,False
49.4805972972973,18.554674276820737,40.228,False
49.4805972972973,18.5755603075786,46.0,False
49.4805972972973,18.596446338336456,48.674,False
49.49411081081082,18.116067630905686,38.135,False
49.49411081081082,18.136953661663547,36.813,False
49.49411081081082,18.157839692421405,33.178,False
49.49411081081082,18.178725723179266,30.243,False
49.49411081081082,18.199611753937123,64.48,False
49.49411081081082,18.220497784694984,63.273,False
49.49411081081082,18.241383815452842,32.69,False
49.49411081081082,18.262269846210703,33.739,False
49.49411081081082,18.283155876968564,57.468,False
49.49411081081082,18.304041907726422,30.396,False
49.49411081081082,18.324927938484283,29.189,False
49.49411081081082,18.34581396924214,26.759,False
49.49411081081082,18.3667,33.246,False
49.49411081081082,18.387586030757863,29.285,False
49.49411081081082,18.40847206151572,28.543,False
49.49411081081082,18.42935809227358,29.721,False
49.49411081081082,18.45024412303144,36.053,False
49.49411081081082,18.4711301537893,36.304,False
49.49411081081082,18.49201618454716,40.516,False
49.49411081081082,18.51290221530502,38.967,False
49.49411081081082,18.53378824606288,39.825,False
49.49411081081082,18.554674276820737,41.226,False
49.49411081081082,18.5755603075786,47.618,False
49.49411081081082,18.596446338336456,49.038,False
49.49411081081082,18.617332369094317,54.463,False
49.507624324324325,18.095181600147825,44.091,False
49.507624324324325,18.116067630905686,43.201,False
49.507624324324325,18.136953661663547,39.441,False
49.507624324324325,18.157839692421405,33.954,False
49.507624324324325,18.178725723179266,30.964,False
49.507624324324325,18.199611753937123,31.453,False
49.507624324324325,18.220497784694984,30.667,False
49.507624324324325,18.241383815452842,30.313,False
49.507624324324325,18.262269846210703,31.449,False
49.507624324324325,18.283155876968564,33.638,False
49.507624324324325,18.304041907726422,27.166,False
49.507624324324325,18.324927938484283,24.084,False
49.507624324324325,18.34581396924214,24.407,False
49.507624324324325,18.3667,25.36,False
49.507624324324325,18.387586030757863,30.667,False
49.507624324324325,18.40847206151572,23.012,False
49.507624324324325,18.42935809227358,27.714,False
49.507624324324325,18.45024412303144,26.576,False
49.507624324324325,18.4711301537893,28.495,False
49.507624324324325,18.49201618454716,30.458,False
49.507624324324325,18.51290221530502,33.546,False
49.507624324324325,18.53378824606288,30.02,False
49.507624324324325,18.554674276820737,29.281,False
49.507624324324325,18.5755603075786,43.605,False
49.507624324324325,18.596446338336456,45.217,False
49.507624324324325,18.617332369094317,51.75,False
49.507624324324325,18.638218399852178,52.131,False
49.52113783783784,18.074295569389967,46.179,False
49.52113783783784,18.095181600147825,45.526,False
49.52113783783784,18.116067630905686,36.68,False
49.52113783783784,18.136953661663547,35.146,False
49.52113783783784,18.157839692421405,31.994,False
49.52113783783784,18.178725723179266,27.51,False
49.52113783783784,18.199611753937123,26.808,False
49.52113783783784,18.220497784694984,29.6,False
49.52113783783784,18.241383815452842,27.866,False
49.52113783783784,18.262269846210703,25.109,False
49.52113783783784,18.283155876968564,23.373,False
49.52113783783784,18.304041907726422,23.535,False
49.52113783783784,18.324927938484283,21.266,False
49.52113783783784,18.34581396924214,22.252,False
49.52113783783784,18.3667,24.382,False
49.52113783783784,18.387586030757863,22.202,False
49.52113783783784,18.40847206151572,21.699,False
49.52113783783784,18.42935809227358,27.346,False
49.52113783783784,18.45024412303144,28.689,False
49.52113783783784,18.4711301537893,27.908,False
49.52113783783784,18.49201618454716,24.774,False
49.52113783783784,18.51290221530502,24.646,False
49.52113783783784,18.53378824606288,28.135,False
49.52113783783784,18.554674276820737,27.186,False
49.52113783783784,18.5755603075786,29.519,False
49.52113783783784,18.596446338336456,36.875,False
49.52113783783784,18.617332369094317,52.485,False
49.52113783783784,18.638218399852178,49.708,False
49.52113783783784,18.659104430610036,50.572,False
49.53465135135136,18.053409538632106,38.188,False
49.53465135135136,18.074295569389967,38.266,False
49.53465135135136,18.095181600147825,39.798,False
49.53465135135136,18.116067630905686,36.109,False
49.53465135135136,18.136953661663547,30.116,False
49.53465135135136,18.157839692421405,29.338,False
49.53465135135136,18.178725723179266,27.104,False
49.53465135135136,18.199611753937123,25.327,False
49.53465135135136,18.220497784694984,25.897,False
49.53465135135136,18.241383815452842,27.814,False
49.53465135135136,18.262269846210703,25.194,False
49.53465135135136,18.283155876968564,22.973,False
49.53465135135136,18.304041907726422,21.186,False
49.53465135135136,18.324927938484283,20.846,False
49.53465135135136,18.34581396924214,20.495,False
49.53465135135136,18.3667,19.981,True
49.53465135135136,18.387586030757863,20.033,False
49.53465135135136,18.40847206151572,22.705,False
49.53465135135136,18.42935809227358,24.054,False
49.53465135135136,18.45024412303144,29.034,False
49.53465135135136,18.4711301537893,26.72,False
49.53465135135136,18.49201618454716,23.655,False
49.53465135135136,18.51290221530502,24.827,False
49.53465135135136,18.53378824606288,27.334,False
49.53465135135136,18.554674276820737,36.72,False
49.53465135135136,18.5755603075786,35.912,False
49.53465135135136,18.596446338336456,35.635,False
49.53465135135136,18.617332369094317,50.662,False
49.53465135135136,18.638218399852178,48.123,False
49.53465135135136,18.659104430610036,47.053,False
49.53465135135136,18.679990461367897,48.071,False
49.548164864864866,18.053409538632106,36.273,False
49.548164864864866,18.074295569389967,37.682,False
49.548164864864866,18.095181600147825,33.301,False
49.548164864864866,18.116067630905686,31.661,False
49.548164864864866,18.136953661663547,28.706,False
49.548164864864866,18.157839692421405,27.003,False
49.548164864864866,18.178725723179266,28.583,False
49.548164864864866,18.199611753937123,26.69,False
49.548164864864866,18.220497784694984,23.88,False
49.548164864864866,18.241383815452842,25.552,False
49.548164864864866,18.262269846210703,24.29,False
49.548164864864866,18.283155876968564,23.707,False
49.548164864864866,18.304041907726422,22.832,False
49.548164864864866,18.324927938484283,19.393,True
49.548164864864866,18.34581396924214,18.188,True
49.548164864864866,18.3667,17.967,True
