,byty,podlazi,dist_m,lat,lon,adresa
1,271.0,13.0,583.7818640524403,49.68074103724609,18.33888709345711,
2,168.0,9.0,387.73070513169074,49.678884040393264,18.337705424294235,
3,158.0,3.0,1552.6578772328426,49.68869314784137,18.345945938212996,~Růžový pahorek
4,133.0,6.0,622.2680812863136,49.675999279955946,18.330361319508143,
5,130.0,13.0,560.1499684425236,49.67987575060869,18.34276925416569,
6,126.0,6.0,429.59491572583477,49.678478616584066,18.34272252015331,~Stará cesta
7,102.0,5.0,654.0029062602571,49.68129209105094,18.337453547986474,
8,100.0,18.0,543.72850948345,49.67611561944968,18.33147549055676,
9,100.0,17.0,385.9643555091854,49.6741465270485,18.334018485497477,
10,96.0,5.0,2197.697664156799,49.693507488196595,18.35145867972241,
11,96.0,9.0,516.1989461066994,49.679917125641516,18.336788824488707,
12,94.0,18.0,339.3555432382813,49.672826188919714,18.341233515560333,~Stará cesta
13,94.0,18.0,318.09273877611207,49.673287688971136,18.341754649669383,~Stará cesta
14,94.0,18.0,358.50142648630526,49.673058952315884,18.342204621103075,~Stará cesta
15,93.0,8.0,2002.2080491528095,49.67971419932707,18.36591535155761,~Hlavní třída
16,93.0,8.0,1913.0996087043338,49.679880986598626,18.36457715652884,
17,92.0,8.0,1936.265912167656,49.67909338132043,18.365195005270774,~Hlavní třída
18,92.0,8.0,1999.248457310736,49.67792320154002,18.366393071936656,~Hlavní třída
19,92.0,8.0,504.0423937276387,49.67131196558828,18.341643795394607,
20,92.0,8.0,629.9726569775769,49.67054926472694,18.343208723152394,
21,86.0,8.0,1471.592224509849,49.679630332833746,18.358314265157063,~Novodvorská
22,80.0,10.0,1477.8985892525961,49.688528781458224,18.34291230276422,
23,78.0,8.0,1469.0622333363258,49.67923066270825,18.35846968639647,~Novodvorská
24,77.0,3.0,2429.020593705438,49.6972689002513,18.336395750920335,
25,75.0,16.0,486.63758418762546,49.67981741377617,18.337927523738664,
26,75.0,16.0,459.3922906642222,49.679583024943845,18.338066274889705,
27,75.0,16.0,605.915999521872,49.680647767780336,18.33623381448261,
28,72.0,7.0,1866.8748820191984,49.69035038225588,18.350982604362258,~Růžový pahorek
29,72.0,6.0,1613.8614352854518,49.68694000717355,18.352688719366114,~T. G. Masaryka
30,72.0,6.0,1738.2245721358493,49.68738625415048,18.354571991528502,~T. G. Masaryka
