scenario,trial,month,monthly_pl_kc
konzervativni,15,6,-727.53
konzervativni,15,7,-410.7
konzervativni,15,8,-646.29
konzervativni,15,9,-457.51
konzervativni,15,10,-696.15
konzervativni,15,11,-650.5
konzervativni,15,12,-503.84
konzervativni,16,1,-684.66
konzervativni,16,2,-800.0
konzervativni,16,3,-694.2
konzervativni,16,4,-735.96
konzervativni,16,5,-611.49
konzervativni,16,6,-574.1
konzervativni,16,7,-804.67
konzervativni,16,8,-506.72
konzervativni,16,9,-18.42
konzervativni,16,10,-630.49
konzervativni,16,11,-458.22
konzervativni,16,12,-423.63
konzervativni,17,1,-676.32
konzervativni,17,2,-496.18
konzervativni,17,3,-603.86
konzervativni,17,4,-641.09
konzervativni,17,5,-640.02
konzervativni,17,6,-519.82
konzervativni,17,7,-641.97
konzervativni,17,8,-447.18
konzervativni,17,9,-303.44
konzervativni,17,10,-404.56
konzervativni,17,11,-667.28
konzervativni,17,12,-466.3
konzervativni,18,1,-728.81
konzervativni,18,2,-702.46
konzervativni,18,3,-194.65
konzervativni,18,4,-599.39
konzervativni,18,5,-723.03
konzervativni,18,6,-284.18
konzervativni,18,7,-608.64
konzervativni,18,8,-455.87
konzervativni,18,9,-615.59
konzervativni,18,10,-145.96
konzervativni,18,11,-365.12
konzervativni,18,12,-417.32
konzervativni,19,1,-404.47
konzervativni,19,2,-628.14
konzervativni,19,3,-257.86
konzervativni,19,4,-715.14
konzervativni,19,5,-714.99
konzervativni,19,6,-502.88
konzervativni,19,7,-544.69
konzervativni,19,8,-622.6
konzervativni,19,9,-268.61
konzervativni,19,10,-238.17
konzervativni,19,11,-568.44
konzervativni,19,12,-399.9
konzervativni,20,1,-800.0
konzervativni,20,2,-771.52
konzervativni,20,3,-550.52
konzervativni,20,4,-604.17
konzervativni,20,5,-739.25
konzervativni,20,6,-137.91
konzervativni,20,7,-526.89
konzervativni,20,8,-437.94
konzervativni,20,9,-469.89
konzervativni,20,10,-395.61
konzervativni,20,11,-594.5
konzervativni,20,12,-400.66
konzervativni,21,1,-681.61
konzervativni,21,2,-189.62
konzervativni,21,3,-800.0
konzervativni,21,4,-663.2
konzervativni,21,5,-808.0
konzervativni,21,6,-498.36
konzervativni,21,7,-800.0
konzervativni,21,8,-464.22
konzervativni,21,9,-528.55
konzervativni,21,10,-454.88
konzervativni,21,11,-436.82
konzervativni,21,12,-339.12
konzervativni,22,1,-800.0
konzervativni,22,2,-800.0
konzervativni,22,3,-677.45
konzervativni,22,4,-702.78
konzervativni,22,5,-800.0
konzervativni,22,6,-733.02
konzervativni,22,7,-568.78
konzervativni,22,8,-766.63
konzervativni,22,9,-477.2
konzervativni,22,10,-358.56
konzervativni,22,11,-430.52
konzervativni,22,12,-659.86
konzervativni,23,1,-800.0
konzervativni,23,2,-517.35
konzervativni,23,3,-800.0
konzervativni,23,4,-645.05
konzervativni,23,5,-692.96
konzervativni,23,6,-595.48
konzervativni,23,7,-681.41
konzervativni,23,8,-398.42
konzervativni,23,9,-381.98
konzervativni,23,10,-646.72
konzervativni,23,11,-604.31
konzervativni,23,12,-470.94
konzervativni,24,1,-699.7
konzervativni,24,2,-666.76
konzervativni,24,3,-669.97
konzervativni,24,4,-729.5
konzervativni,24,5,-522.65
konzervativni,24,6,1.44
konzervativni,24,7,-819.93
konzervativni,24,8,-619.22
konzervativni,24,9,-652.78
konzervativni,24,10,-679.43
konzervativni,24,11,-750.41
konzervativni,24,12,-319.5
konzervativni,25,1,-752.86
konzervativni,25,2,-211.32
konzervativni,25,3,-679.49
konzervativni,25,4,-419.26
konzervativni,25,5,-563.21
konzervativni,25,6,-704.8
konzervativni,25,7,-399.14
konzervativni,25,8,-213.07
konzervativni,25,9,-424.49
konzervativni,25,10,-744.44
konzervativni,25,11,-672.88
konzervativni,25,12,-647.75
konzervativni,26,1,-773.89
konzervativni,26,2,-705.75
konzervativni,26,3,-522.68
konzervativni,26,4,-534.79
konzervativni,26,5,-683.33
konzervativni,26,6,-330.25
konzervativni,26,7,-527.3
konzervativni,26,8,-511.99
konzervativni,26,9,40.06
konzervativni,26,10,-599.2
konzervativni,26,11,-676.76
konzervativni,26,12,-487.37
konzervativni,27,1,-800.0
konzervativni,27,2,-625.99
konzervativni,27,3,-661.89
konzervativni,27,4,-622.61
konzervativni,27,5,-380.03
konzervativni,27,6,31.47
konzervativni,27,7,-772.58
konzervativni,27,8,-808.0
konzervativni,27,9,-699.87
konzervativni,27,10,-808.0
konzervativni,27,11,-465.93
konzervativni,27,12,-105.13
konzervativni,28,1,-793.14
konzervativni,28,2,-501.6
konzervativni,28,3,-711.31
konzervativni,28,4,-584.82
konzervativni,28,5,-442.73
konzervativni,28,6,-319.56
konzervativni,28,7,-787.04
konzervativni,28,8,-231.09
konzervativni,28,9,-858.03
konzervativni,28,10,-70.19
konzervativni,28,11,-287.4
konzervativni,28,12,-407.82
konzervativni,29,1,-802.61
konzervativni,29,2,-429.55
konzervativni,29,3,-699.99
konzervativni,29,4,-812.18
konzervativni,29,5,-748.55
konzervativni,29,6,-564.74
konzervativni,29,7,-365.64
konzervativni,29,8,-436.56
konzervativni,29,9,-757.33
konzervativni,29,10,-653.58
konzervativni,29,11,-713.63
konzervativni,29,12,-599.18
konzervativni,30,1,-718.0
konzervativni,30,2,-655.7
konzervativni,30,3,-673.09
konzervativni,30,4,-588.16
konzervativni,30,5,-785.22
konzervativni,30,6,-764.66
konzervativni,30,7,-607.06
konzervativni,30,8,-727.79
konzervativni,30,9,-592.8
konzervativni,30,10,-590.76
konzervativni,30,11,-622.96
konzervativni,30,12,-454.59
konzervativni,31,1,-800.0
konzervativni,31,2,-732.5
konzervativni,31,3,-523.7
konzervativni,31,4,-653.44
konzervativni,31,5,-705.9
konzervativni,31,6,-658.74
konzervativni,31,7,-772.84
konzervativni,31,8,-509.04
konzervativni,31,9,-503.5
konzervativni,31,10,-614.03
konzervativni,31,11,-579.38
konzervativni,31,12,-652.07
konzervativni,32,1,-800.0
konzervativni,32,2,-671.67
konzervativni,32,3,-606.93
konzervativni,32,4,-428.98
